date,total_pnl,avg_trade_size,trade_volume,trade_count,win_rate,sentiment_score
2023-01-05,0.0,159.0,477.0,3,0.0,-1.0
2023-05-12,0.0,5556.203333333334,50005.83,9,0.0,0.0
2024-01-01,-129.53146,14679.973888888888,264239.52999999997,18,0.05555555555555555,1.0
2024-01-02,0.0,334.69666666666666,2008.18,6,0.0,1.0
2024-01-03,8244.241409,3452.370072992701,472974.7,137,0.9343065693430657,1.0
2024-01-04,2507.963406,4408.7074025974025,339470.47,77,0.5454545454545454,1.0
2024-01-05,0.0,6216.103571428571,87025.45,14,0.0,1.0
2024-01-06,91.510419,513.3848,12834.62,25,0.36,1.0
2024-01-07,5065.839308,5666.721093749999,362670.14999999997,64,0.40625,1.0
2024-01-08,167.080017,3996.044385964912,227774.53,57,0.07017543859649122,1.0
2024-01-09,137.433093,1029.9733333333334,12359.68,12,0.4166666666666667,2.0
2024-01-10,0.0,34988.58,139954.32,4,0.0,1.0
2024-01-11,1040.475736,11347.001304347827,260981.03,23,0.2608695652173913,2.0
2024-01-12,40886.364494,1958.441875,814711.82,416,0.53125,1.0
2024-02-01,783.979116,7138.1611764705885,121348.74,17,0.47058823529411764,1.0
2024-02-02,456.423473,11292.343571428572,474278.43,42,0.30952380952380953,1.0
2024-02-03,230.90060000000005,2038.6309677419354,63197.56,31,0.6774193548387096,1.0
2024-02-04,883.760812,5845.475853658536,239664.50999999998,41,0.2926829268292683,1.0
2024-02-06,192.906947,316.822688172043,29464.51,93,0.3655913978494624,1.0
2024-02-07,2421.253116,1852.6372222222224,33347.47,18,0.7222222222222222,1.0
2024-02-08,782.3681909999999,6290.799523809524,396320.37,63,0.2698412698412698,1.0
2024-02-09,0.0,15000.21,30000.42,2,0.0,1.0
2024-02-10,0.0,24988.585,99954.34,4,0.0,1.0
2024-02-11,0.0,20000.0,40000.0,2,0.0,1.0
2024-02-12,18489.604313,2167.568740740741,585243.56,270,0.4074074074074074,1.0
2024-03-01,866.015507,5888.050149253731,394499.36,67,0.417910447761194,2.0
2024-03-02,223.30918699999998,10782.5,603820.0,56,0.10714285714285714,2.0
2024-03-03,8361.086245,4946.1478481012655,390745.68,79,0.6835443037974683,2.0
2024-03-04,126.7884,4221.8925,16887.57,4,0.25,2.0
2024-03-05,5306.017045,7852.295833333333,282682.64999999997,36,0.4722222222222222,2.0
2024-03-06,562.808208,306.66942857142857,21466.86,70,0.6285714285714286,2.0
2024-03-07,1118.387284,9977.814444444444,179600.66,18,0.2222222222222222,2.0
2024-03-08,464.1897,7852.239459459459,290532.86,37,0.02702702702702703,2.0
2024-03-10,100.375782,14770.632222222222,132935.69,9,0.3333333333333333,2.0
2024-03-11,0.0,21509.27666666667,129055.66,6,0.0,2.0
2024-03-12,23576.539285,2900.177887700535,1084666.53,374,0.4304812834224599,2.0
2024-04-01,-67.60364,19958.508,99792.54000000001,5,0.0,2.0
